;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2012-01;29.0;28.0;28.0;28.0;28.0;28.0;21.0;21.0;19.0;19.0;19.0;18.0;15.0;;;;31037
2013-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;;;;;31037
2014-01;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;;;31037
2016-01;3.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;31037
2017-01;3.0;3.0;3.0;2.0;2.0;2.0;2.0;1.0;;;;;;;;;31037
2018-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;31037
2019-01;5.0;5.0;5.0;5.0;5.0;4.0;;;;;;;;;;;31037
2020-01;3.0;3.0;2.0;2.0;2.0;;;;;;;;;;;;31037
2021-01;2.0;2.0;2.0;2.0;;;;;;;;;;;;;31037
2022-01;7.0;7.0;6.0;;;;;;;;;;;;;;31037
2023-01;3.0;3.0;;;;;;;;;;;;;;;31037
2024-01;2.0;;;;;;;;;;;;;;;;31037
2009-01;1.0;1.0;;;;;;;;;;;;;;;31031
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;31031
2017-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;;;;31031
2018-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;31031
2024-01;3.0;;;;;;;;;;;;;;;;31031
2010-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;31004
2018-01;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;;;;31004
2020-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;31004
2024-01;1.0;;;;;;;;;;;;;;;;31004
2015-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;31059
2018-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;31059
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31059
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;31003
2015-01;3.0;3.0;3.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;;;;;;;31003
2016-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;31003
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31003
2023-01;1.0;1.0;;;;;;;;;;;;;;;31003
2010-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0;3.0;;31057
2012-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;31057
2014-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;31057
2016-01;3.0;3.0;3.0;3.0;;1.0;1.0;1.0;1.0;;;;;;;;31057
2017-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;31057
2019-01;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;31057
2021-01;1.0;1.0;;;;;;;;;;;;;;;31057
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;31057
2023-01;6.0;6.0;;;;;;;;;;;;;;;31057
2024-01;1.0;;;;;;;;;;;;;;;;31057
2009-01;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;;;;;;;;;31006
2010-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;31006
2011-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;31006
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;31006
2015-01;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;31006
2016-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;31006
2017-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;31006
2019-01;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;;;;;31006
2020-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;31006
2021-01;2.0;2.0;2.0;2.0;;;;;;;;;;;;;31006
2009-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;31092
2010-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;31092
2011-01;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;31092
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;31092
2013-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;31092
2014-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;31092
2016-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;31092
2017-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;31092
2018-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;;;;;;;;;;31092
2019-01;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;31092
